last                      credit      wus  last_change       credit_change    wus_change        ppd
2021-02-03 00:36:03  28590977861  1722911  1:30:07                  859546            19   13734931
2021-02-02 23:05:56  28590118315  1722892  0:50:04                  304546             8    8759245
2021-02-02 22:15:52  28589813769  1722884  2:09:10                 1592146           310   17749859
2021-02-02 20:06:42  28588221623  1722574  0:50:05                  370261            28   10645773
2021-02-02 19:16:37  28587851362  1722546  0:49:49                  571701            12   16525582
2021-02-02 18:26:48  28587279661  1722534  0:50:09                  325374             8    9342742
2021-02-02 17:36:39  28586954287  1722526  1:50:04                  744037            47    9734221
2021-02-02 15:46:35  28586210250  1722479  1:39:59                 1245644            38   17940263
2021-02-02 14:06:36  28584964606  1722441  0:39:59                  483021             5   17396004
2021-02-02 13:26:37  28584481585  1722436  1:10:02                  807617            31   16605927
2021-02-02 12:16:35  28583673968  1722405  2:19:51                  893117            16    9196199
2021-02-02 09:56:44  28582780851  1722389  1:40:04                 1056172            36   15198744
2021-02-02 08:16:40  28581724679  1722353  0:59:55                  736693            12   17705222
2021-02-02 07:16:45  28580987986  1722341  3:10:03                 1320229            27   10003313
2021-02-02 04:06:42  28579667757  1722314  0:49:56                  436170             6   12578467
2021-02-02 03:16:46  28579231587  1722308  0:50:03                  676203            12   19455191
2021-02-02 02:26:43  28578555384  1722296  0:40:05                  219615            27    7889703
2021-02-02 01:46:38  28578335769  1722269  1:09:47                  882817            12   18217193
2021-02-02 00:36:51  28577452952  1722257  1:40:13                  597791            52    8589579
2021-02-01 22:56:38  28576855161  1722205  0:50:03                  605350             7   17416663
2021-02-01 22:06:35  28576249811  1722198  1:59:57                 1026432            66   12322318
2021-02-01 20:06:38  28575223379  1722132  0:48:30                  612488            24   18185210
2021-02-01 19:18:08  28574610891  1722108  0:51:28                  480440            20   13442362
2021-02-01 18:26:40  28574130451  1722088  0:49:57                  300646            21    8667272
2021-02-01 17:36:43  28573829805  1722067  1:10:03                  854357            15   17562799
2021-02-01 16:26:40  28572975448  1722052  2:20:04                  935079            23    9613377
2021-02-01 14:06:36  28572040369  1722029  0:39:50                  249224             7    9009604
2021-02-01 13:26:46  28571791145  1722022  1:09:23                 1095991            13   22746486
2021-02-01 12:17:23  28570695154  1722009  2:00:04                  700312            17    8399077
2021-02-01 10:17:19  28569994842  1721992  1:40:36                 1418976            20   20311386
2021-02-01 08:36:43  28568575866  1721972  0:19:43                    3019             1     220491
2021-02-01 08:17:00  28568572847  1721971  1:00:00                  272441             7    6538584
