last                      credit      wus  last_change        credit_change    wus_change        ppd
2021-02-23 10:12:51  18322130646  1375454  1:56:13                  2324171            45   28797988
2021-02-23 08:16:38  18319806475  1375409  1:49:57                   779785            26   10212736
2021-02-23 06:26:41  18319026690  1375383  2:30:01                  2133020            49   20474717
2021-02-23 03:56:40  18316893670  1375334  1:39:58                  1543117            31   22228294
2021-02-23 02:16:42  18315350553  1375303  0:40:07                   843420            13   30274818
2021-02-23 01:36:35  18314507133  1375290  1:00:00                  1220417            23   29290007
2021-02-23 00:36:35  18313286716  1375267  0:20:00                   159410            10   11477520
2021-02-23 00:16:35  18313127306  1375257  2:04:14                  1852658            50   21474329
2021-02-22 22:12:21  18311274648  1375207  2:05:45                  1429599            48   16370755
2021-02-22 20:06:36  18309845049  1375159  1:19:57                  1232780            41   22203917
2021-02-22 18:46:39  18308612269  1375118  1:20:12                  1760284            34   31606096
2021-02-22 17:26:27  18306851985  1375084  1:14:24                  1903074            42   36833690
2021-02-22 16:12:03  18304948911  1375042  2:05:34                  3772128            75   43258807
2021-02-22 14:06:29  18301176783  1374967  0:39:50                   957982            25   34631650
2021-02-22 13:26:39  18300218801  1374942  0:40:13                  1048067            19   37527139
2021-02-22 12:46:26  18299170734  1374923  1:39:51                  1337778            65   19292942
2021-02-22 11:06:35  18297832956  1374858  0:55:10                  1351032           100   35265608
2021-02-22 10:11:25  18296481924  1374758  2:04:52                  1955319            69   22549327
2021-02-22 08:06:33  18294526605  1374689  0:30:05                   752919            18   36040000
2021-02-22 07:36:28  18293773686  1374671  0:25:30                   363377             8   20520112
2021-02-22 07:10:58  18293410309  1374663  1:04:25                  1168286            27   26116406
2021-02-22 06:06:33  18292242023  1374636  0:59:58                  1139850            25   27371606
2021-02-22 05:06:35  18291102173  1374611  0:50:06                   866587          -166   24907889
2021-02-22 04:16:29  18290235586  1374777  2:00:04                  2241466            38   26882657
2021-02-22 02:16:25  18287994120  1374739  0:39:54                  1392694            17   50262640
2021-02-22 01:36:31  18286601426  1374722  0:39:53                   770958            16   27835675
2021-02-22 00:56:38  18285830468  1374706  0:20:08                   474746             7   33955343
2021-02-22 00:36:30  18285355722  1374699  2:25:40                  2651933            59   26215905
2021-02-21 22:10:50  18282703789  1374640  2:04:14                  2574109            55   29836734
2021-02-21 20:06:36  18280129680  1374585  1:10:09                  2601332            32   53398689
2021-02-21 18:56:27  18277528348  1374553  1:19:47                  1560815            41   28170966
2021-02-21 17:36:40  18275967533  1374512  1:20:10                  2487438            43   44680799
2021-02-21 16:16:30  18273480095  1374469  0:39:57                   505230            11   18211043
2021-02-21 15:36:33  18272974865  1374458  1:29:55                  1974948            43   31628453
2021-02-21 14:06:38  18270999917  1374415  0:10:02                   612619             9   87924055
2021-02-21 13:56:36  18270387298  1374406  1:40:11                  2108997            54   30313981
2021-02-21 12:16:25  18268278301  1374352  0:19:58                   731137            14   52729746
2021-02-21 11:56:27  18267547164  1374338  1:08:49                  1613995            37   33773109
2021-02-21 10:47:38  18265933169  1374301  0:37:24                   664139            16   25571127
2021-02-21 10:10:14  18265269030  1374285  2:03:42                  2559276            54   29792703
2021-02-21 08:06:32  18262709754  1374231  2:00:01                  2984722            54   35811690
2021-02-21 06:06:31  18259725032  1374177  0:59:53                  1408441            34   33868439
2021-02-21 05:06:38  18258316591  1374143  1:10:02                  1688449            39   34717275
2021-02-21 03:56:36  18256628142  1374104  1:40:05                  2446165            49   35195446
2021-02-21 02:16:31  18254181977  1374055  0:40:09                   352651            14   12648005
2021-02-21 01:36:22  18253829326  1374041  1:09:45                  1533765            30   31664825
2021-02-21 00:26:37  18252295561  1374011  2:00:01                  3352091            61   40219505
